material_group,total_spend,spend_share_pct,cumulative_share
75,111605471.0,49.480947764937554,49.480947764937554
74,82890175.55,36.74985114857007,86.23079891350763
97,10008750.0,4.437438698164884,90.66823761167251
162,5144144.92,2.280687172421761,92.94892478409427
4,4926829.91,2.1843392733268607,95.13326405742113
54,3449750.29,1.5294672597328869,96.66273131715401
35,2725740.32,1.2084731437108864,97.8712044608649
22,1585057.12,0.7027444788899494,98.57394893975486
27,453573.2,0.20109436943978823,98.77504330919464
61,421860.0,0.187034134053487,98.96207744324813
5,343383.0,0.15224089047003397,99.11431833371817
1,305960.0,0.13564918137534937,99.24996751509353
40,261098.7,0.1157596578414431,99.36572717293497
158,198593.55,0.08804762872246212,99.45377480165743
67,178300.0,0.07905036292072426,99.53282516457816
55,118620.25,0.0525909916559004,99.58541615623406
52,113148.8,0.05016519183423693,99.6355813480683
21,97548.0,0.043248484588843575,99.67882983265714
2,72993.0,0.03236187964482572,99.71119171230197
47,69870.08,0.030977314533370933,99.74216902683534
142,65981.08,0.02925310330847639,99.77142213014382
34,62057.0,0.027513339157439063,99.79893546930126
204,56563.04,0.025077559393715327,99.82401302869498
26,33211.31,0.014724431343649346,99.83873746003863
133,32480.0,0.014400200716013032,99.85313766075464
157,31680.5,0.014045737647279892,99.86718339840192
134,30636.97,0.013583082430125301,99.88076648083205
212,29633.35,0.013138121548271698,99.89390460238032
156,22269.98,0.009873527769137806,99.90377813014946
24,21741.0,0.009639001347501211,99.91341713149696
7,20700.55,0.009177711666621416,99.92259484316358
28,19991.46,0.008863332407824689,99.93145817557141
200,15851.0,0.007027634899923724,99.93848581047133
44,12923.148000000001,0.0057295543436804925,99.94421536481501
62,12630.0,0.005599585438523541,99.94981495025353
131,11930.0,0.005289236285161191,99.95510418653869
171,11710.0,0.005191697979818738,99.96029588451852
198,9040.0,0.0040079376377080604,99.96430382215623
51,7220.0,0.003201029838965951,99.96750485199519
168,6653.6,0.0029499130383024725,99.9704547650335
49,6439.91,0.0028551723088996147,99.97330993734239
187,5948.6,0.0026373471052732493,99.97594728444767
129,5800.0,0.002571464413573756,99.97851874886125
150,5798.49,0.0025707949461143595,99.98108954380736
71,5400.0,0.0023941220402238414,99.98348366584759
45,4880.96,0.0021640025765649927,99.98564766842415
197,4200.0,0.001862094920174099,99.98750976334432
170,3840.0,0.0017024867841591764,99.98921225012847
36,3750.0,0.0016625847501554453,99.99087483487862
183,3480.0,0.0015428786481442535,99.99241771352676
189,3350.0,0.0014852423768055313,99.99390295590356
48,2530.25,0.001121801350421551,99.99502475725399
195,2250.0,0.0009975508500932673,99.99602230810407
29,2244.0,0.0009948907144930186,99.99701719881857
108,1517.28,0.0006726950905908946,99.99768989390915
211,1395.0,0.0006184815270578258,99.99830837543621
196,1105.0,0.0004899083063791379,99.99879828374259
18,900.0,0.00039902034003730694,99.99919730408263
124,520.0,0.00023054508535488846,99.99942784916799
178,500.0,0.00022167796668739274,99.99964952713468
160,457.5,0.00020283533951896435,99.9998523624742
136,280.0,0.0001241396613449399,99.99997650213554
143,53.0,2.349786446886363e-05,100.00000000000001
